Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
009520,KR7009520008,포스코엠텍,KOSDAQ,우량기업부,27850,2,-700,-2.45,27950,28650,27800,272106,7680943550,1159749278550,41642703,KSQ
096530,KR7096530001,씨젠,KOSDAQ,우량기업부,22000,2,-150,-0.68,22050,22150,21700,150591,3294119400,1148971868000,52225994,KSQ
064550,KR7064550007,바이오니아,KOSDAQ,우량기업부,44450,2,-1000,-2.2,45100,46000,44100,92655,4148945600,1147267434950,25810291,KSQ
018670,KR7018670000,SK가스,KOSPI,,123900,2,-1400,-1.12,124600,125400,123600,996,123779300,1143627231600,9230244,STK
285130,KR7285130001,SK케미칼,KOSPI,,65900,2,-300,-0.45,66300,67200,65500,23005,1529332800,1137024299700,17253783,STK
100090,KR7100090000,SK오션플랜트,KOSPI,,21200,2,-250,-1.17,21650,21700,21100,52501,1118072950,1128582254400,53235012,STK
281740,KR7281740001,레이크머티리얼즈,KOSDAQ,우량기업부,17160,2,-510,-2.89,17550,17640,17130,306439,5290892190,1127936203680,65730548,KSQ
064760,KR7064760002,티씨케이,KOSDAQ GLOBAL,우량기업부,95600,2,-800,-0.83,97200,97200,95500,3533,338714200,1116130000000,11675000,KSQ
065350,KR7065350001,신성델타테크,KOSDAQ,우량기업부,40000,0,0,0.0,0,0,0,0,0,1099357920000,27483948,KSQ
222800,KR7222800005,심텍,KOSDAQ,우량기업부,34300,2,-600,-1.72,33950,34850,33900,71167,2442133800,1092597104900,31854143,KSQ
048410,KR7048410005,현대바이오,KOSDAQ,중견기업부,27300,2,-1300,-4.55,30000,32450,26500,1849984,54004269500,1086663068400,39804508,KSQ
032350,KR7032350001,롯데관광개발,KOSPI,,14720,1,1870,14.55,14000,15400,13830,6782990,98728911710,1085786340480,73762659,STK
009970,KR7009970005,영원무역홀딩스,KOSPI,,79500,1,700,0.89,78800,79800,78100,3817,301749800,1084029564000,13635592,STK
